date,value,timeseries_id,dataset_id,value_name
1978-07-31,81.0,K222,DIOP,iop
1978-08-31,81.7,K222,DIOP,iop
1978-09-30,81.7,K222,DIOP,iop
1978-10-31,80.1,K222,DIOP,iop
1978-11-30,80.7,K222,DIOP,iop
1978-12-31,83.2,K222,DIOP,iop
1979-01-31,77.4,K222,DIOP,iop
1979-02-28,83.2,K222,DIOP,iop
1979-03-31,84.2,K222,DIOP,iop
1979-04-30,84.2,K222,DIOP,iop
1979-05-31,85.4,K222,DIOP,iop
1979-06-30,86.8,K222,DIOP,iop
1979-07-31,85.8,K222,DIOP,iop
1979-08-31,82.8,K222,DIOP,iop
1979-09-30,82.5,K222,DIOP,iop
1979-10-31,82.8,K222,DIOP,iop
1979-11-30,83.9,K222,DIOP,iop
1979-12-31,84.4,K222,DIOP,iop
1980-01-31,83.9,K222,DIOP,iop
1980-02-29,81.9,K222,DIOP,iop
1980-03-31,81.4,K222,DIOP,iop
1980-04-30,79.1,K222,DIOP,iop
1980-05-31,79.2,K222,DIOP,iop
1980-06-30,79.3,K222,DIOP,iop
1980-07-31,77.6,K222,DIOP,iop
1980-08-31,76.4,K222,DIOP,iop
1980-09-30,75.1,K222,DIOP,iop
1980-10-31,74.8,K222,DIOP,iop
1980-11-30,74.8,K222,DIOP,iop
1980-12-31,74.3,K222,DIOP,iop
1981-01-31,74.2,K222,DIOP,iop
1981-02-28,74.8,K222,DIOP,iop
1981-03-31,74.9,K222,DIOP,iop
1981-04-30,75.2,K222,DIOP,iop
1981-05-31,74.1,K222,DIOP,iop
1981-06-30,75.7,K222,DIOP,iop
1981-07-31,76.0,K222,DIOP,iop
1981-08-31,76.1,K222,DIOP,iop
1981-09-30,76.3,K222,DIOP,iop
1981-10-31,78.0,K222,DIOP,iop
1981-11-30,77.1,K222,DIOP,iop
1981-12-31,75.9,K222,DIOP,iop
1982-01-31,76.0,K222,DIOP,iop
1982-02-28,76.4,K222,DIOP,iop
1982-03-31,76.6,K222,DIOP,iop
1982-04-30,77.5,K222,DIOP,iop
1982-05-31,78.2,K222,DIOP,iop
1982-06-30,77.2,K222,DIOP,iop
1982-07-31,77.2,K222,DIOP,iop
1982-08-31,77.8,K222,DIOP,iop
1982-09-30,77.9,K222,DIOP,iop
1982-10-31,77.4,K222,DIOP,iop
1982-11-30,76.1,K222,DIOP,iop
1982-12-31,77.2,K222,DIOP,iop
1983-01-31,78.2,K222,DIOP,iop
1983-02-28,79.3,K222,DIOP,iop
1983-03-31,78.2,K222,DIOP,iop
1983-04-30,79.1,K222,DIOP,iop
1983-05-31,80.1,K222,DIOP,iop
1983-06-30,78.9,K222,DIOP,iop
1983-07-31,80.2,K222,DIOP,iop
1983-08-31,80.3,K222,DIOP,iop
1983-09-30,80.7,K222,DIOP,iop
1983-10-31,81.4,K222,DIOP,iop
1983-11-30,81.3,K222,DIOP,iop
1983-12-31,81.7,K222,DIOP,iop
1984-01-31,82.9,K222,DIOP,iop
1984-02-29,82.2,K222,DIOP,iop
1984-03-31,81.1,K222,DIOP,iop
1984-04-30,79.6,K222,DIOP,iop
1984-05-31,79.1,K222,DIOP,iop
1984-06-30,79.7,K222,DIOP,iop
1984-07-31,78.5,K222,DIOP,iop
1984-08-31,78.2,K222,DIOP,iop
1984-09-30,79.5,K222,DIOP,iop
1984-10-31,79.6,K222,DIOP,iop
1984-11-30,79.1,K222,DIOP,iop
1984-12-31,80.4,K222,DIOP,iop
1985-01-31,81.8,K222,DIOP,iop
1985-02-28,81.8,K222,DIOP,iop
1985-03-31,83.9,K222,DIOP,iop
1985-04-30,84.7,K222,DIOP,iop
1985-05-31,85.5,K222,DIOP,iop
1985-06-30,87.3,K222,DIOP,iop
1985-07-31,83.9,K222,DIOP,iop
1985-08-31,84.7,K222,DIOP,iop
1985-09-30,86.2,K222,DIOP,iop
1985-10-31,84.4,K222,DIOP,iop
1985-11-30,85.4,K222,DIOP,iop
1985-12-31,83.2,K222,DIOP,iop
1986-01-31,84.2,K222,DIOP,iop
1986-02-28,84.9,K222,DIOP,iop
1986-03-31,85.7,K222,DIOP,iop
1986-04-30,86.7,K222,DIOP,iop
1986-05-31,85.3,K222,DIOP,iop
1986-06-30,86.5,K222,DIOP,iop
1986-07-31,85.8,K222,DIOP,iop
1986-08-31,85.8,K222,DIOP,iop
1986-09-30,88.0,K222,DIOP,iop
1986-10-31,88.2,K222,DIOP,iop
1986-11-30,87.9,K222,DIOP,iop
1986-12-31,88.2,K222,DIOP,iop
1987-01-31,86.6,K222,DIOP,iop
1987-02-28,89.4,K222,DIOP,iop
1987-03-31,89.0,K222,DIOP,iop
1987-04-30,88.2,K222,DIOP,iop
1987-05-31,89.8,K222,DIOP,iop
1987-06-30,89.5,K222,DIOP,iop
1987-07-31,91.1,K222,DIOP,iop
1987-08-31,90.8,K222,DIOP,iop
1987-09-30,90.2,K222,DIOP,iop
1987-10-31,91.3,K222,DIOP,iop
1987-11-30,91.3,K222,DIOP,iop
1987-12-31,92.0,K222,DIOP,iop
1988-01-31,92.9,K222,DIOP,iop
1988-02-29,91.8,K222,DIOP,iop
1988-03-31,93.3,K222,DIOP,iop
1988-04-30,92.5,K222,DIOP,iop
1988-05-31,93.6,K222,DIOP,iop
1988-06-30,93.9,K222,DIOP,iop
1988-07-31,94.4,K222,DIOP,iop
1988-08-31,95.4,K222,DIOP,iop
1988-09-30,96.3,K222,DIOP,iop
1988-10-31,95.3,K222,DIOP,iop
1988-11-30,96.2,K222,DIOP,iop
1988-12-31,95.6,K222,DIOP,iop
1989-01-31,96.1,K222,DIOP,iop
1989-02-28,96.4,K222,DIOP,iop
1989-03-31,95.1,K222,DIOP,iop
1989-04-30,97.5,K222,DIOP,iop
1989-05-31,95.0,K222,DIOP,iop
1989-06-30,95.1,K222,DIOP,iop
1989-07-31,95.3,K222,DIOP,iop
1989-08-31,97.2,K222,DIOP,iop
1989-09-30,96.8,K222,DIOP,iop
1989-10-31,96.2,K222,DIOP,iop
1989-11-30,97.1,K222,DIOP,iop
1989-12-31,96.9,K222,DIOP,iop
1990-01-31,95.9,K222,DIOP,iop
1990-02-28,95.3,K222,DIOP,iop
1990-03-31,96.6,K222,DIOP,iop
1990-04-30,97.2,K222,DIOP,iop
1990-05-31,96.6,K222,DIOP,iop
1990-06-30,98.1,K222,DIOP,iop
1990-07-31,95.8,K222,DIOP,iop
1990-08-31,95.9,K222,DIOP,iop
1990-09-30,95.4,K222,DIOP,iop
1990-10-31,95.3,K222,DIOP,iop
1990-11-30,94.8,K222,DIOP,iop
1990-12-31,94.3,K222,DIOP,iop
1991-01-31,94.1,K222,DIOP,iop
1991-02-28,94.0,K222,DIOP,iop
1991-03-31,93.0,K222,DIOP,iop
1991-04-30,91.8,K222,DIOP,iop
1991-05-31,92.9,K222,DIOP,iop
1991-06-30,93.2,K222,DIOP,iop
1991-07-31,92.4,K222,DIOP,iop
1991-08-31,91.5,K222,DIOP,iop
1991-09-30,91.6,K222,DIOP,iop
1991-10-31,92.7,K222,DIOP,iop
1991-11-30,93.0,K222,DIOP,iop
1991-12-31,92.6,K222,DIOP,iop
1992-01-31,92.5,K222,DIOP,iop
1992-02-29,93.1,K222,DIOP,iop
1992-03-31,92.7,K222,DIOP,iop
1992-04-30,93.3,K222,DIOP,iop
1992-05-31,91.4,K222,DIOP,iop
1992-06-30,92.3,K222,DIOP,iop
1992-07-31,93.2,K222,DIOP,iop
1992-08-31,93.0,K222,DIOP,iop
1992-09-30,93.7,K222,DIOP,iop
1992-10-31,94.6,K222,DIOP,iop
1992-11-30,93.4,K222,DIOP,iop
1992-12-31,93.3,K222,DIOP,iop
1993-01-31,93.4,K222,DIOP,iop
1993-02-28,94.7,K222,DIOP,iop
1993-03-31,94.0,K222,DIOP,iop
1993-04-30,94.1,K222,DIOP,iop
1993-05-31,94.7,K222,DIOP,iop
1993-06-30,94.2,K222,DIOP,iop
1993-07-31,95.1,K222,DIOP,iop
1993-08-31,95.3,K222,DIOP,iop
1993-09-30,95.7,K222,DIOP,iop
1993-10-31,95.9,K222,DIOP,iop
1993-11-30,96.8,K222,DIOP,iop
1993-12-31,97.0,K222,DIOP,iop
1994-01-31,97.6,K222,DIOP,iop
1994-02-28,97.9,K222,DIOP,iop
1994-03-31,98.3,K222,DIOP,iop
1994-04-30,99.6,K222,DIOP,iop
1994-05-31,100.9,K222,DIOP,iop
1994-06-30,99.7,K222,DIOP,iop
1994-07-31,100.2,K222,DIOP,iop
1994-08-31,100.6,K222,DIOP,iop
1994-09-30,101.6,K222,DIOP,iop
1994-10-31,101.8,K222,DIOP,iop
1994-11-30,101.6,K222,DIOP,iop
1994-12-31,102.7,K222,DIOP,iop
1995-01-31,100.9,K222,DIOP,iop
1995-02-28,100.9,K222,DIOP,iop
1995-03-31,101.3,K222,DIOP,iop
1995-04-30,102.2,K222,DIOP,iop
1995-05-31,102.1,K222,DIOP,iop
1995-06-30,101.4,K222,DIOP,iop
1995-07-31,102.1,K222,DIOP,iop
1995-08-31,102.2,K222,DIOP,iop
1995-09-30,102.5,K222,DIOP,iop
1995-10-31,102.2,K222,DIOP,iop
1995-11-30,102.7,K222,DIOP,iop
1995-12-31,103.3,K222,DIOP,iop
1996-01-31,102.8,K222,DIOP,iop
1996-02-29,103.6,K222,DIOP,iop
1996-03-31,103.7,K222,DIOP,iop
1996-04-30,102.5,K222,DIOP,iop
1996-05-31,103.2,K222,DIOP,iop
1996-06-30,102.6,K222,DIOP,iop
1996-07-31,102.5,K222,DIOP,iop
1996-08-31,103.2,K222,DIOP,iop
1996-09-30,103.8,K222,DIOP,iop
1996-10-31,103.7,K222,DIOP,iop
1996-11-30,104.2,K222,DIOP,iop
1996-12-31,104.8,K222,DIOP,iop
1997-01-31,105.0,K222,DIOP,iop
1997-02-28,105.3,K222,DIOP,iop
1997-03-31,104.3,K222,DIOP,iop
1997-04-30,104.5,K222,DIOP,iop
1997-05-31,104.1,K222,DIOP,iop
1997-06-30,104.2,K222,DIOP,iop
1997-07-31,105.8,K222,DIOP,iop
1997-08-31,104.0,K222,DIOP,iop
1997-09-30,104.5,K222,DIOP,iop
1997-10-31,105.1,K222,DIOP,iop
1997-11-30,105.5,K222,DIOP,iop
1997-12-31,105.1,K222,DIOP,iop
1998-01-31,105.4,K222,DIOP,iop
1998-02-28,106.3,K222,DIOP,iop
1998-03-31,106.6,K222,DIOP,iop
1998-04-30,106.5,K222,DIOP,iop
1998-05-31,105.6,K222,DIOP,iop
1998-06-30,105.5,K222,DIOP,iop
1998-07-31,105.8,K222,DIOP,iop
1998-08-31,105.1,K222,DIOP,iop
1998-09-30,105.1,K222,DIOP,iop
1998-10-31,105.2,K222,DIOP,iop
1998-11-30,105.0,K222,DIOP,iop
1998-12-31,105.3,K222,DIOP,iop
1999-01-31,105.0,K222,DIOP,iop
1999-02-28,104.8,K222,DIOP,iop
1999-03-31,105.7,K222,DIOP,iop
1999-04-30,104.7,K222,DIOP,iop
1999-05-31,105.7,K222,DIOP,iop
1999-06-30,106.3,K222,DIOP,iop
1999-07-31,106.7,K222,DIOP,iop
1999-08-31,108.2,K222,DIOP,iop
1999-09-30,108.5,K222,DIOP,iop
1999-10-31,108.4,K222,DIOP,iop
1999-11-30,108.9,K222,DIOP,iop
1999-12-31,108.0,K222,DIOP,iop
2000-01-31,108.0,K222,DIOP,iop
2000-02-29,108.8,K222,DIOP,iop
2000-03-31,108.5,K222,DIOP,iop
2000-04-30,108.2,K222,DIOP,iop
2000-05-31,108.5,K222,DIOP,iop
2000-06-30,109.0,K222,DIOP,iop
2000-07-31,107.9,K222,DIOP,iop
2000-08-31,109.1,K222,DIOP,iop
2000-09-30,108.0,K222,DIOP,iop
2000-10-31,108.3,K222,DIOP,iop
2000-11-30,109.4,K222,DIOP,iop
2000-12-31,109.0,K222,DIOP,iop
2001-01-31,108.9,K222,DIOP,iop
2001-02-28,108.2,K222,DIOP,iop
2001-03-31,108.0,K222,DIOP,iop
2001-04-30,107.0,K222,DIOP,iop
2001-05-31,107.1,K222,DIOP,iop
2001-06-30,107.1,K222,DIOP,iop
2001-07-31,106.1,K222,DIOP,iop
2001-08-31,107.9,K222,DIOP,iop
2001-09-30,106.6,K222,DIOP,iop
2001-10-31,105.7,K222,DIOP,iop
2001-11-30,105.2,K222,DIOP,iop
2001-12-31,105.3,K222,DIOP,iop
2002-01-31,105.2,K222,DIOP,iop
2002-02-28,105.6,K222,DIOP,iop
2002-03-31,107.0,K222,DIOP,iop
2002-04-30,105.7,K222,DIOP,iop
2002-05-31,107.1,K222,DIOP,iop
2002-06-30,102.8,K222,DIOP,iop
2002-07-31,104.6,K222,DIOP,iop
2002-08-31,105.5,K222,DIOP,iop
2002-09-30,106.0,K222,DIOP,iop
2002-10-31,104.9,K222,DIOP,iop
2002-11-30,104.6,K222,DIOP,iop
2002-12-31,104.9,K222,DIOP,iop
2003-01-31,104.2,K222,DIOP,iop
2003-02-28,104.8,K222,DIOP,iop
2003-03-31,104.6,K222,DIOP,iop
2003-04-30,104.1,K222,DIOP,iop
2003-05-31,103.8,K222,DIOP,iop
2003-06-30,104.5,K222,DIOP,iop
2003-07-31,105.2,K222,DIOP,iop
2003-08-31,105.2,K222,DIOP,iop
2003-09-30,105.0,K222,DIOP,iop
2003-10-31,106.0,K222,DIOP,iop
2003-11-30,105.4,K222,DIOP,iop
2003-12-31,106.1,K222,DIOP,iop
2004-01-31,105.8,K222,DIOP,iop
2004-02-29,105.4,K222,DIOP,iop
2004-03-31,107.4,K222,DIOP,iop
2004-04-30,106.8,K222,DIOP,iop
2004-05-31,106.4,K222,DIOP,iop
2004-06-30,106.4,K222,DIOP,iop
2004-07-31,104.7,K222,DIOP,iop
2004-08-31,104.6,K222,DIOP,iop
2004-09-30,105.2,K222,DIOP,iop
2004-10-31,105.5,K222,DIOP,iop
2004-11-30,106.0,K222,DIOP,iop
2004-12-31,106.1,K222,DIOP,iop
2005-01-31,105.7,K222,DIOP,iop
2005-02-28,105.8,K222,DIOP,iop
2005-03-31,103.9,K222,DIOP,iop
2005-04-30,105.8,K222,DIOP,iop
2005-05-31,106.1,K222,DIOP,iop
2005-06-30,106.2,K222,DIOP,iop
2005-07-31,105.6,K222,DIOP,iop
2005-08-31,104.8,K222,DIOP,iop
2005-09-30,104.3,K222,DIOP,iop
2005-10-31,104.2,K222,DIOP,iop
2005-11-30,105.4,K222,DIOP,iop
2005-12-31,106.4,K222,DIOP,iop
2006-01-31,106.8,K222,DIOP,iop
2006-02-28,106.2,K222,DIOP,iop
2006-03-31,106.5,K222,DIOP,iop
2006-04-30,106.1,K222,DIOP,iop
2006-05-31,106.0,K222,DIOP,iop
2006-06-30,106.8,K222,DIOP,iop
2006-07-31,105.9,K222,DIOP,iop
2006-08-31,106.7,K222,DIOP,iop
2006-09-30,106.9,K222,DIOP,iop
2006-10-31,106.5,K222,DIOP,iop
2006-11-30,107.0,K222,DIOP,iop
2006-12-31,106.2,K222,DIOP,iop
2007-01-31,107.7,K222,DIOP,iop
2007-02-28,106.8,K222,DIOP,iop
2007-03-31,106.8,K222,DIOP,iop
2007-04-30,106.5,K222,DIOP,iop
2007-05-31,108.3,K222,DIOP,iop
2007-06-30,107.1,K222,DIOP,iop
2007-07-31,106.7,K222,DIOP,iop
2007-08-31,107.6,K222,DIOP,iop
2007-09-30,106.6,K222,DIOP,iop
2007-10-31,107.1,K222,DIOP,iop
2007-11-30,107.5,K222,DIOP,iop
2007-12-31,107.3,K222,DIOP,iop
2008-01-31,107.8,K222,DIOP,iop
2008-02-29,107.6,K222,DIOP,iop
2008-03-31,105.8,K222,DIOP,iop
2008-04-30,107.0,K222,DIOP,iop
2008-05-31,105.9,K222,DIOP,iop
2008-06-30,104.9,K222,DIOP,iop
2008-07-31,104.7,K222,DIOP,iop
